,Fiyat,Marka,Seri,Model,Yıl,Yakıt,Vites,KM,Kasa_Tipi,Motor_Gucu,Motor_Hacmi,Cekis,Renk,Garanti,Plaka,Kimden,Takas
0,53.500 TL,Fiat,Linea,1.3 Multijet Active Plus,2013,Dizel,Manuel,133.500,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
1,105.000 TL,Renault,Megane,1.5 dCi GT-Line,2014,Dizel,Yarı Otomatik,65.000,Hatchback 5 kapı,110 hp,1461 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
2,41.750 TL,Volkswagen,Polo,1.4 TDi Trendline,2006,Dizel,Manuel,254.000,Hatchback 5 kapı,80 hp,1422 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
3,32.900 TL,Peugeot,206,1.4 XR,2000,Benzin & LPG,Otomatik,200.000,Hatchback 5 kapı,75 hp,1360 cc,Önden Çekiş,Yeşil,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
4,62.000 TL,Ford,Focus,1.6 TDCi Titanium X,2011,Dizel,Manuel,235.000,Sedan,115 hp,1560 cc,Önden Çekiş,Siyah,Hayır,Türkiye (TR) Plakalı,Sahibinden,Evet
5,31.500 TL,Toyota,Corolla,1.6 XLi,1996,Benzin & LPG,Manuel,300.000,Sedan,105 hp,1587 cc,Önden Çekiş,Bej,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
6,122.000 TL,Volkswagen,Passat,1.4 TSI BlueMotion Comfortline,2013,Benzin,Yarı Otomatik,67.000,Sedan,122 hp,1390 cc,Önden Çekiş,Siyah,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
7,103.000 TL,Volkswagen,Passat,1.4 TSI BlueMotion Comfortline,2011,Benzin,Manuel,163.000,Sedan,122 hp,1390 cc,Önden Çekiş,Gri,Hayır,Türkiye (TR) Plakalı,Sahibinden,Evet
8,42.000 TL,Hyundai,Elantra,1.6 GLS,2005,Benzin & LPG,Manuel,113.000,Sedan,105 hp,1599 cc,Önden Çekiş,Lacivert,Hayır,Türkiye (TR) Plakalı,Sahibinden,Evet
9,175.450 TL,Honda,Civic,1.6i VTEC Eco Executive,2018,Benzin & LPG,Otomatik,13.488,Sedan,125 hp,1598 cc,Önden Çekiş,Beyaz,Evet,Türkiye (TR) Plakalı,Sahibinden,Evet
10,16.500 TL,Honda,Civic,1.6 1.6i,1990,Benzin & LPG,Manuel,145.000,Hatchback 3 kapı,110 hp,1590 cc,Önden Çekiş,Siyah,Hayır,Türkiye (TR) Plakalı,Sahibinden,Evet
11,23.900 TL,Hyundai,Accent,1.5 GLS,2000,Benzin & LPG,Manuel,205.000,Sedan,92 hp,1495 cc,Önden Çekiş,Kırmızı,Hayır,Türkiye (TR) Plakalı,Sahibinden,Hayır
12,68.500 TL,Toyota,Auris,1.4 D-4D Comfort Extra,2011,Dizel,Yarı Otomatik,185.000,Hatchback 5 kapı,90 hp,1364 cc,Önden Çekiş,Füme,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
13,108.750 TL,Renault,Fluence,1.5 dCi Icon,2015,Dizel,Yarı Otomatik,88.900,Sedan,110 hp,1461 cc,Önden Çekiş,Füme,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
14,25.800 TL,Renault,R 19,1.6 Europa iE,2001,Benzin,Manuel,218.000,Hatchback 5 kapı,90 hp,1598 cc,Önden Çekiş,Kırmızı,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
15,126.500 TL,Toyota,Corolla,1.6 Advance,2017,Benzin,Manuel,31.000,Sedan,132 hp,1598 cc,Önden Çekiş,Beyaz,Evet,Türkiye (TR) Plakalı,Sahibinden,Hayır
16,78.900 TL,Renault,Fluence,1.5 dCi Touch,2014,Dizel,Yarı Otomatik,93.000,Sedan,110 hp,1461 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
17,40.500 TL,Fiat,Brava,1.6 SX,2000,Benzin,Manuel,81.000,Hatchback 5 kapı,103 hp,1581 cc,Önden Çekiş,Gümüş Gri,Hayır,Türkiye (TR) Plakalı,Sahibinden,Evet
18,25.500 TL,Volkswagen,Polo,1.6,1998,Benzin & LPG,Manuel,126.000,Hatchback 3 kapı,75 hp,1598 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
19,81.000 TL,Volkswagen,Jetta,1.4 TSI Comfortline,2010,Benzin,Yarı Otomatik,131.000,Sedan,122 hp,1390 cc,Önden Çekiş,Gümüş Gri,Evet,Türkiye (TR) Plakalı,Sahibinden,Hayır
20,154.000 TL,Volkswagen,Passat,2.0 TDi BlueMotion Comfortline,2015,Dizel,Yarı Otomatik,210.000,Sedan,150 hp,1968 cc,Önden Çekiş,Siyah,Evet,Türkiye (TR) Plakalı,Galeriden,Evet
21,112.500 TL,Toyota,Corolla,1.4 D-4D Touch,2016,Dizel,Yarı Otomatik,97.000,Sedan,90 hp,1364 cc,Önden Çekiş,Füme,Hayır,Türkiye (TR) Plakalı,Sahibinden,Hayır
22,115.500 TL,Honda,Civic,1.6i VTEC Eco Elegance,2012,Benzin & LPG,Otomatik,102.000,Sedan,125 hp,1595 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Sahibinden,Evet
23,168.500 TL,Opel,Insignia,1.6 T Edition Elegance,2017,Benzin,Otomatik,29.900,Sedan,170 hp,1598 cc,Önden Çekiş,Füme,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
24,39.900 TL,Honda,Civic,1.6 i ES,1999,Benzin & LPG,Manuel,238.000,Sedan,125 hp,1590 cc,Önden Çekiş,Beyaz,Evet,Türkiye (TR) Plakalı,Galeriden,Evet
25,68.900 TL,Opel,Corsa,1.3 CDTI Essentia,2014,Dizel,Manuel,75.000,Hatchback 5 kapı,75 hp,1248 cc,Önden Çekiş,Gri,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
26,69.500 TL,Hyundai,i30,1.4 Blue Drive,2014,Benzin & LPG,Manuel,59.000,Hatchback 5 kapı,100 hp,1396 cc,Önden Çekiş,Siyah,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
27,144.750 TL,Toyota,Corolla,1.4 D-4D Advance,2018,Dizel,Yarı Otomatik,58.000,Sedan,90 hp,1364 cc,Önden Çekiş,Beyaz,Evet,Türkiye (TR) Plakalı,Galeriden,Hayır
28,20.000 TL,Hyundai,Accent,1.3 LS,1997,Benzin & LPG,Manuel,209.000,Sedan,75 hp,1341 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Sahibinden,Evet
29,101.000 TL,Ford,Focus,1.5 TDCi Trend X,2018,Dizel,Manuel,43.000,Sedan,120 hp,1500 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Sahibinden,Hayır
30,117.000 TL,Volkswagen,Jetta,1.6 TDi Highline,2013,Dizel,Manuel,140.000,Sedan,105 hp,1598 cc,Önden Çekiş,Füme,Hayır,Türkiye (TR) Plakalı,Sahibinden,Hayır
31,57.750 TL,Opel,Astra,1.3 CDTI Enjoy,2009,Dizel,Yarı Otomatik,244.582,Hatchback 5 kapı,90 hp,1248 cc,Önden Çekiş,Gri,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
32,57.000 TL,Peugeot,208,1.4 HDi Access,2014,Dizel,Manuel,201.000,Hatchback 5 kapı,68 hp,1398 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Sahibinden,Evet
33,49.500 TL,Toyota,Auris,1.4 D-4D Comfort,2008,Dizel,Manuel,250.764,Hatchback 5 kapı,90 hp,1364 cc,Önden Çekiş,Siyah,Hayır,Türkiye (TR) Plakalı,Sahibinden,Evet
34,134.500 TL,Hyundai,Elantra,1.6 CRDi Elite Plus,2016,Dizel,Yarı Otomatik,94.547,Sedan,136 hp,1582 cc,Önden Çekiş,Mavi,Evet,Türkiye (TR) Plakalı,Galeriden,Evet
35,26.500 TL,Peugeot,307,1.4 HDi XR,2004,Dizel,Manuel,278.000,Hatchback 5 kapı,68 hp,1398 cc,Önden Çekiş,Bordo,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
36,69.500 TL,Toyota,Corolla,1.4 D-4D Comfort,2008,Dizel,Manuel,172.000,Sedan,90 hp,1364 cc,Önden Çekiş,Gümüş Gri,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
37,71.000 TL,Ford,Fiesta,1.4 Titanium,2011,Benzin,Otomatik,180.000,Hatchback 5 kapı,96 hp,1388 cc,Önden Çekiş,Füme,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
38,41.000 TL,Renault,Symbol,1.5 dCi Touch,2013,Dizel,Manuel,210.000,Sedan,90 hp,1461 cc,Önden Çekiş,Gümüş Gri,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
39,93.500 TL,Toyota,Corolla,1.33 Life,2016,Benzin,Manuel,36.500,Sedan,99 hp,1329 cc,Önden Çekiş,Beyaz,Evet,Türkiye (TR) Plakalı,Sahibinden,Hayır
40,51.000 TL,Peugeot,301,1.6 HDi Active,2013,Dizel,Manuel,210.000,Sedan,92 hp,1560 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Sahibinden,Hayır
41,65.750 TL,Fiat,Egea,1.3 Multijet Easy,2016,Dizel,Manuel,141.000,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
42,92.000 TL,Peugeot,508,1.6 e-HDi Active,2012,Dizel,Yarı Otomatik,187.000,Sedan,112 hp,1560 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Sahibinden,Evet
43,117.000 TL,Ford,Focus,1.5 TDCi Trend X,2016,Dizel,Yarı Otomatik,140.000,Sedan,120 hp,1499 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
44,67.500 TL,Fiat,Egea,1.4 Fire Urban Plus,2016,Benzin,Manuel,27.000,Hatchback 5 kapı,95 hp,1368 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
45,42.500 TL,Renault,Megane,1.5 dCi Authentique,2006,Dizel,Manuel,230.000,Sedan,80 hp,1461 cc,Önden Çekiş,Gümüş Gri,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
46,125.000 TL,Volkswagen,VW CC 1.4 TSI,Exclusive,2012,Benzin,Otomatik,150.000,Coupe,160 hp,1390 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
47,32.000 TL,Fiat,Marea,1.6 Liberty,2003,Benzin & LPG,Manuel,192.000,Sedan,103 hp,1596 cc,Önden Çekiş,Kırmızı,Hayır,Türkiye (TR) Plakalı,Sahibinden,Evet
48,98.900 TL,Renault,Clio,1.5 dCi Touch,2018,Dizel,Manuel,53.352,Hatchback 5 kapı,90 hp,1461 cc,Önden Çekiş,Kırmızı,Evet,Türkiye (TR) Plakalı,Galeriden,Evet
49,198.500 TL,Volkswagen,Golf,1.6 TDi BlueMotion Highline,2017,Dizel,Otomatik,50.000,Hatchback 5 kapı,101 - 125 HP,1301 - 1600 cm3,Önden Çekiş,Kırmızı,Evet,Türkiye (TR) Plakalı,Galeriden,Evet
50,88.000 TL,Honda,CR-Z,GT,2012,Hybrid,Manuel,80.000,Coupe,113 hp,1497 cc,Önden Çekiş,Beyaz,Evet,Türkiye (TR) Plakalı,Sahibinden,Evet
51,18.000 TL,Renault,R 19,1.4 Europa RNA,1999,Benzin & LPG,Manuel,245.000,Sedan,75 hp,1397 cc,Önden Çekiş,Gümüş Gri,Hayır,Türkiye (TR) Plakalı,Sahibinden,Hayır
52,46.500 TL,Hyundai,Accent Era,1.4 Team,2010,Benzin & LPG,Manuel,268.000,Sedan,97 hp,1399 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Sahibinden,Hayır
53,40.500 TL,Toyota,Corolla,1.6 Terra,2002,Benzin & LPG,Manuel,195.000,Sedan,110 hp,1598 cc,Önden Çekiş,Lacivert,Hayır,Türkiye (TR) Plakalı,Sahibinden,Evet
54,92.500 TL,Toyota,Corolla,1.33 Life,2016,Benzin,Manuel,52.000,Sedan,99 hp,1329 cc,Önden Çekiş,Beyaz,Evet,Türkiye (TR) Plakalı,Sahibinden,Hayır
55,40.000 TL,Volkswagen,Bora,1.6 Comfortline,2000,Benzin & LPG,Otomatik,240.000,Sedan,101 hp,1595 cc,Önden Çekiş,Siyah,Evet,Türkiye (TR) Plakalı,Galeriden,Evet
56,84.000 TL,Opel,Astra,1.6 Edition,2012,Benzin & LPG,Manuel,100.000,Sedan,115 hp,1598 cc,Önden Çekiş,Lacivert,Hayır,Türkiye (TR) Plakalı,Sahibinden,Hayır
57,62.000 TL,Toyota,Corolla,1.33 Comfort,2011,Benzin,Manuel,92.000,Sedan,99 hp,1329 cc,Önden Çekiş,Siyah,Hayır,Türkiye (TR) Plakalı,Sahibinden,Hayır
58,56.500 TL,Hyundai,i20,1.4 CRDi Jump,2014,Dizel,Manuel,180.000,Hatchback 5 kapı,90 hp,1396 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
59,124.500 TL,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2014,Dizel,Otomatik,201.000,Sedan,101 - 125 HP,1301 - 1600 cm3,Önden Çekiş,Siyah,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
60,62.750 TL,Peugeot,308,1.6 HDi Comfort,2008,Dizel,Yarı Otomatik,189.000,Hatchback 5 kapı,110 hp,1560 cc,Önden Çekiş,Gümüş Gri,Hayır,Türkiye (TR) Plakalı,Sahibinden,Evet
61,111.900 TL,Ford,Focus,1.6 TDCi Trend X,2016,Dizel,Manuel,92.000,Sedan,95 hp,1560 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
62,66.500 TL,Peugeot,301,1.6 HDi Allure,2016,Dizel,Manuel,147.350,Sedan,92 hp,1560 cc,Önden Çekiş,Beyaz,Evet,Türkiye (TR) Plakalı,Sahibinden,Hayır
63,73.800 TL,Fiat,Egea,1.3 Multijet Easy,2016,Dizel,Manuel,123.000,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Sahibinden,Hayır
64,23.750 TL,Fiat,Palio,1.4 EL,2001,Benzin & LPG,Manuel,147.000,Hatchback 5 kapı,77 hp,1368 cc,Önden Çekiş,Şampanya,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
65,18.000 TL,Opel,Vectra,2.0 GLS,1993,Benzin & LPG,Manuel,270.000,Sedan,115 hp,1998 cc,Önden Çekiş,Bordo,Hayır,Türkiye (TR) Plakalı,Sahibinden,Evet
66,156.500 TL,Honda,Civic,1.6i VTEC Eco Executive,2017,Benzin & LPG,Yarı Otomatik,56.800,Sedan,125 hp,1597 cc,Önden Çekiş,Füme,Evet,Türkiye (TR) Plakalı,Sahibinden,Hayır
67,73.000 TL,Volkswagen,Jetta,1.2 TSI Comfortline,2011,Benzin,Manuel,176.000,Sedan,105 hp,1197 cc,Önden Çekiş,Gri,Hayır,Türkiye (TR) Plakalı,Sahibinden,Hayır
68,47.000 TL,Volkswagen,Polo,1.4 Basicline,2004,Benzin & LPG,Manuel,138.000,Hatchback 5 kapı,75 hp,1390 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Sahibinden,Evet
69,53.500 TL,Toyota,Corolla,1.4 D-4D Comfort,2007,Dizel,Yarı Otomatik,258.000,Sedan,90 hp,1364 cc,Önden Çekiş,Gri,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
70,128.000 TL,Volkswagen,Passat,2.0 TDi BlueMotion Comfortline,2012,Dizel,Yarı Otomatik,150.600,Sedan,140 hp,1968 cc,Önden Çekiş,Siyah,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
71,121.500 TL,Volkswagen,Jetta,1.6 TDi Comfortline,2015,Dizel,Yarı Otomatik,149.000,Sedan,105 hp,1598 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
72,45.900 TL,Opel,Astra,1.3 CDTI Enjoy,2008,Dizel,Manuel,205.000,Hatchback 5 kapı,90 hp,1248 cc,Önden Çekiş,Gümüş Gri,Evet,Türkiye (TR) Plakalı,Galeriden,Hayır
73,45.000 TL,Volkswagen,Bora,1.6 Trendline,2000,Benzin & LPG,Manuel,230.000,Sedan,105 hp,1595 cc,Önden Çekiş,Siyah,Hayır,Türkiye (TR) Plakalı,Sahibinden,Hayır
74,64.900 TL,Volkswagen,Jetta,1.6 Midline,2008,Benzin & LPG,Otomatik,240.000,Sedan,101 - 125 HP,1301 - 1600 cm3,Önden Çekiş,Gri,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
75,26.750 TL,Opel,Corsa,1.7 DTI Comfort,2003,Dizel,Manuel,340.000,Hatchback 3 kapı,75 hp,1686 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
76,63.000 TL,Volkswagen,Jetta,1.6 TDi Trendline,2011,Dizel,Manuel,159.000,Sedan,105 hp,1598 cc,Önden Çekiş,Gri,Hayır,Türkiye (TR) Plakalı,Sahibinden,Hayır
