,Fiyat,Marka,Seri,Model,Yıl,Yakıt,Vites,KM,Kasa_Tipi,Motor_Gucu,Motor_Hacmi,Cekis,Renk,Garanti,Plaka,Kimden,Takas
77,120.000 TL,Ford,Focus,1.6 TDCi Titanium,2017,Dizel,Manuel,88.000,Sedan,115 hp,1560 cc,Önden Çekiş,Beyaz,Evet,Türkiye (TR) Plakalı,Sahibinden,Evet
78,26.250 TL,Renault,R 19,1.6 Europa RNE,1998,Benzin & LPG,Manuel,260.000,Sedan,90 hp,1598 cc,Önden Çekiş,Beyaz,Evet,Türkiye (TR) Plakalı,Galeriden,Evet
79,72.500 TL,Volkswagen,Passat,2.0 TDi Exclusive,2008,Dizel,Manuel,171.000,Sedan,140 hp,1968 cc,Önden Çekiş,Turkuaz,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
80,13.000 TL,Renault,R 9,1.4 Broadway GTE,1990,Benzin & LPG,Manuel,100.000,Sedan,83 hp,1390 cc,Önden Çekiş,Mavi,Hayır,Türkiye (TR) Plakalı,Sahibinden,Evet
81,98.750 TL,Toyota,Auris,1.33 Life,2013,Benzin,Manuel,15.000,Hatchback 5 kapı,99 hp,1329 cc,Önden Çekiş,Gümüş Gri,Evet,Türkiye (TR) Plakalı,Galeriden,Evet
82,68.000 TL,Peugeot,308,1.6 HDi Access,2012,Dizel,Manuel,114.500,Hatchback 5 kapı,92 hp,1560 cc,Önden Çekiş,Siyah,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
83,55.500 TL,Fiat,Linea,1.3 Multijet Active Plus,2014,Dizel,Manuel,136.000,Sedan,95 hp,1248 cc,Önden Çekiş,Gümüş Gri,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
84,79.500 TL,Honda,Civic,1.6i VTEC Elegance,2009,Benzin & LPG,Manuel,180.000,Sedan,125 hp,1595 cc,Önden Çekiş,Siyah,Hayır,Türkiye (TR) Plakalı,Sahibinden,Hayır
85,136.500 TL,Toyota,Corolla,1.6 Vision,2019,Benzin,Yarı Otomatik,8.200,Sedan,132 hp,1598 cc,Önden Çekiş,Beyaz,Evet,Türkiye (TR) Plakalı,Galeriden,Evet
86,43.750 TL,Ford,Fiesta,1.4 TDCi Trend,2010,Dizel,Manuel,158.000,Hatchback 5 kapı,70 hp,1398 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
87,36.750 TL,Renault,Megane,1.5 dCi Authentique,2008,Dizel,Manuel,245.000,Sedan,105 hp,1461 cc,Önden Çekiş,Gri,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
88,68.000 TL,Renault,Clio,1.5 dCi Joy,2016,Dizel,Manuel,130.000,Hatchback 5 kapı,75 hp,1461 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
89,45.000 TL,Ford,Focus,1.6 Trend,2006,Benzin & LPG,Manuel,239,Hatchback 5 kapı,100 hp,1596 cc,Önden Çekiş,Mavi,Hayır,Türkiye (TR) Plakalı,Sahibinden,Evet
90,99.900 TL,Volkswagen,Jetta,1.6 TDi Comfortline,2013,Dizel,Yarı Otomatik,169.112,Sedan,105 hp,1598 cc,Önden Çekiş,Gri,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
91,60.000 TL,Peugeot,208,1.2 VTi Access,2012,Benzin,Manuel,65.797,Hatchback 5 kapı,82 hp,1199 cc,Önden Çekiş,Siyah,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
92,95.750 TL,Hyundai,i20,1.4 MPI Style,2018,Benzin,Otomatik,58.000,Hatchback 5 kapı,100 hp,1368 cc,Önden Çekiş,Kırmızı,Evet,Türkiye (TR) Plakalı,Galeriden,Evet
93,116.000 TL,Volkswagen,Jetta,1.2 TSI Highline,2015,Benzin,Manuel,76.000,Sedan,105 hp,1197 cc,Önden Çekiş,Beyaz,Evet,Türkiye (TR) Plakalı,Galeriden,Evet
94,111.950 TL,Renault,Fluence,1.5 dCi Icon,2015,Dizel,Otomatik,86.000,Sedan,101 - 125 HP,1301 - 1600 cm3,Önden Çekiş,Siyah,Evet,Türkiye (TR) Plakalı,Galeriden,Evet
95,79.500 TL,Honda,Civic,1.6i VTEC Elegance,2010,Benzin & LPG,Otomatik,171.000,Sedan,125 hp,1595 cc,Önden Çekiş,Siyah,Hayır,Türkiye (TR) Plakalı,Sahibinden,Evet
96,75.850 TL,Renault,Clio,1.5 dCi Joy,2015,Dizel,Manuel,66.000,Hatchback 5 kapı,75 hp,1461 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
97,69.500 TL,Volkswagen,Golf,1.6 TDi Trendline,2012,Dizel,Manuel,176.500,Hatchback 5 kapı,90 hp,1598 cc,Önden Çekiş,Siyah,Hayır,Türkiye (TR) Plakalı,Sahibinden,Hayır
98,70.000 TL,Peugeot,301,1.6 HDi Active,2016,Dizel,Manuel,112.000,Sedan,92 hp,1560 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Sahibinden,Hayır
99,109.500 TL,Hyundai,Accent Blue,1.6 CRDI Mode Plus,2017,Dizel,Yarı Otomatik,63.000,Sedan,136 hp,1582 cc,Önden Çekiş,Beyaz,Evet,Türkiye (TR) Plakalı,Galeriden,Evet
100,113.000 TL,Toyota,Corolla,1.33 Life,2018,Benzin,Manuel,10.000,Sedan,99 hp,1329 cc,Önden Çekiş,Gümüş Gri,Evet,Türkiye (TR) Plakalı,Sahibinden,Hayır
101,67.750 TL,Honda,Civic,1.6 VTEC ES,2005,Benzin & LPG,Manuel,98.000,Hatchback 5 kapı,101 - 125 HP,1301 - 1600 cm3,Önden Çekiş,Gümüş Gri,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
102,67.500 TL,Peugeot,301,1.6 HDi Access,2013,Dizel,Manuel,141.000,Sedan,92 hp,1560 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Sahibinden,Evet
103,74.950 TL,Toyota,Yaris,1.33 Terra Sporty,2011,Benzin,Yarı Otomatik,90.000,Hatchback 5 kapı,101 hp,1329 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
104,119.500 TL,Toyota,Corolla,1.4 D-4D Touch,2016,Dizel,Yarı Otomatik,101.500,Sedan,90 hp,1364 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
105,79.500 TL,Fiat,Egea,1.4 Fire Easy,2018,Benzin,Manuel,19.000,Sedan,95 hp,1368 cc,Önden Çekiş,Beyaz,Evet,Türkiye (TR) Plakalı,Sahibinden,Evet
106,24.000 TL,Hyundai,Accent,1.3 LX,2000,Benzin & LPG,Manuel,207.000,Sedan,75 hp,1341 cc,Önden Çekiş,Mavi,Hayır,Türkiye (TR) Plakalı,Sahibinden,Hayır
107,85.750 TL,Renault,Clio,1.5 dCi Joy,2017,Dizel,Manuel,49.000,Hatchback 5 kapı,75 hp,1461 cc,Önden Çekiş,Beyaz,Evet,Türkiye (TR) Plakalı,Galeriden,Evet
108,59.750 TL,Renault,Megane,1.6 Dynamique,2005,Benzin,Manuel,56.000,Hatchback 5 kapı,115 hp,1598 cc,Önden Çekiş,Gümüş Gri,Evet,Türkiye (TR) Plakalı,Galeriden,Evet
109,41.500 TL,Ford,Mondeo,2.0 TDCi Ghia,2004,Dizel,Manuel,298.000,Sedan,130 hp,1998 cc,Önden Çekiş,Gri,Hayır,Türkiye (TR) Plakalı,Sahibinden,Evet
110,176.000 TL,Volkswagen,Golf,1.6 TDi BlueMotion Highline,2017,Dizel,Yarı Otomatik,47.500,Hatchback 5 kapı,115 hp,1598 cc,Önden Çekiş,Kırmızı,Evet,Türkiye (TR) Plakalı,Sahibinden,Hayır
111,15.000 TL,Ford,Escort,1.6 CL,1997,Benzin & LPG,Manuel,0,Sedan,90 hp,1597 cc,Önden Çekiş,Kırmızı,Hayır,Türkiye (TR) Plakalı,Sahibinden,Hayır
112,124.900 TL,Hyundai,Accent Blue,1.6 CRDI Mode Plus,2018,Dizel,Yarı Otomatik,19.000,Sedan,136 hp,1582 cc,Önden Çekiş,Beyaz,Evet,Türkiye (TR) Plakalı,Galeriden,Hayır
113,42.500 TL,Honda,Civic,1.4 S,2001,Benzin & LPG,Otomatik,270.000,Sedan,90 hp,1396 cc,Önden Çekiş,Bej,Hayır,Türkiye (TR) Plakalı,Sahibinden,Evet
114,28.000 TL,Ford,Escort,1.6 CLX,1998,Benzin & LPG,Manuel,145,Station Wagon,90 hp,1597 cc,Önden Çekiş,Gri,Hayır,Türkiye (TR) Plakalı,Sahibinden,Evet
115,34.000 TL,Toyota,Corolla,1.6 XLi,1995,Benzin & LPG,Manuel,241.000,Sedan,105 hp,1587 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Sahibinden,Hayır
116,38.000 TL,Hyundai,i30,1.4 CVVT Team,2010,Benzin,Manuel,163.000,Hatchback 5 kapı,109 hp,1396 cc,Önden Çekiş,Gümüş Gri,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
117,72.000 TL,Hyundai,Accent Blue,1.6 CRDI Mode,2012,Dizel,Manuel,67.000,Sedan,128 hp,1582 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Sahibinden,Hayır
118,54.500 TL,Renault,Megane,1.6 Expression,2007,Benzin & LPG,Otomatik,205.000,Sedan,110 hp,1598 cc,Önden Çekiş,Gri,Hayır,Türkiye (TR) Plakalı,Sahibinden,Evet
119,62.500 TL,Opel,Astra,1.3 CDTI Essentia,2011,Dizel,Manuel,115.000,Hatchback 5 kapı,90 hp,1248 cc,Önden Çekiş,Siyah,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
120,37.300 TL,Opel,Astra,1.6 Comfort,2001,Benzin & LPG,Manuel,184.200,Hatchback 5 kapı,100 hp,1598 cc,Önden Çekiş,Gümüş Gri,Evet,Türkiye (TR) Plakalı,Sahibinden,Evet
121,210.000 TL,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2016,Dizel,Yarı Otomatik,84.000,Sedan,120 hp,1598 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Sahibinden,Hayır
122,58.000 TL,Hyundai,i20,1.4 CRDi Jump,2013,Dizel,Manuel,240.000,Hatchback 5 kapı,90 hp,1396 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
123,60.500 TL,Fiat,Punto,1.3 Multijet Easy,2013,Dizel,Manuel,98.000,Hatchback 5 kapı,75 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
124,85.750 TL,Renault,Fluence,1.5 dCi Touch,2016,Dizel,Yarı Otomatik,163.000,Sedan,110 hp,1461 cc,Önden Çekiş,Gümüş Gri,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
125,79.000 TL,Peugeot,301,1.6 HDi Active,2017,Dizel,Manuel,69.000,Sedan,92 hp,1560 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
126,35.000 TL,Peugeot,206,1.4 X-Design,2006,Benzin & LPG,Manuel,185.000,Hatchback 5 kapı,75 hp,1360 cc,Önden Çekiş,Siyah,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
127,113.500 TL,Hyundai,i20,1.4 MPI Style,2018,Benzin,Otomatik,13.264,Hatchback 5 kapı,100 hp,1368 cc,Önden Çekiş,Beyaz,Evet,Türkiye (TR) Plakalı,Galeriden,Evet
128,32.000 TL,Hyundai,Accent Era,1.4 Team,2007,Benzin & LPG,Manuel,265.790,Sedan,97 hp,1399 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Sahibinden,Evet
129,69.750 TL,Renault,Clio,1.5 dCi Touch,2015,Dizel,Manuel,155.000,Hatchback 5 kapı,90 hp,1461 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
130,42.750 TL,Fiat,Punto,1.3 Multijet Pop,2012,Dizel,Manuel,183.000,Hatchback 5 kapı,75 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Sahibinden,Hayır
131,74.900 TL,Hyundai,i20,1.2 MPI Style,2015,Benzin,Manuel,130.060,Hatchback 5 kapı,84 hp,1248 cc,Önden Çekiş,Kırmızı,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
132,62.000 TL,Renault,Fluence,1.5 dCi Dynamique,2011,Dizel,Yarı Otomatik,216.000,Sedan,101 - 125 HP,1301 - 1600 cm3,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Sahibinden,Hayır
133,28.919 TL,Toyota,Corolla,1.6 GLi,1996,Benzin & LPG,Otomatik,467.000,Sedan,114 hp,1587 cc,Önden Çekiş,Beyaz,Evet,Türkiye (TR) Plakalı,Galeriden,Evet
134,34.000 TL,Peugeot,206,1.4 X-Line,2004,Benzin & LPG,Manuel,185.000,Hatchback 5 kapı,75 hp,1360 cc,Önden Çekiş,Şampanya,Evet,Türkiye (TR) Plakalı,Galeriden,Evet
135,55.750 TL,Opel,Astra,1.3 CDTI Enjoy,2006,Dizel,Manuel,234.000,Hatchback 5 kapı,90 hp,1248 cc,Önden Çekiş,Gümüş Gri,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
136,112.000 TL,Hyundai,Accent Blue,1.6 CRDI Mode Plus,2017,Dizel,Yarı Otomatik,59.952,Sedan,136 hp,1582 cc,Önden Çekiş,Beyaz,Evet,Türkiye (TR) Plakalı,Galeriden,Evet
137,62.500 TL,Peugeot,301,1.6 HDi Active,2017,Dizel,Manuel,112.912,Sedan,92 hp,1560 cc,Önden Çekiş,Gri,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
138,16.750 TL,Ford,Escort,1.6 CL,1996,Benzin & LPG,Manuel,183.500,Sedan,90 hp,1597 cc,Önden Çekiş,Gri,Hayır,Türkiye (TR) Plakalı,Sahibinden,Evet
139,61.500 TL,Renault,Clio,1.5 dCi Joy,2015,Dizel,Manuel,157.500,Hatchback 5 kapı,75 hp,1461 cc,Önden Çekiş,Gümüş Gri,Evet,Türkiye (TR) Plakalı,Galeriden,Hayır
140,229.750 TL,Peugeot,508,1.5 BlueHDi Prime,2019,Dizel,Otomatik,60,Sedan,130 hp,1499 cc,Önden Çekiş,Gri,Evet,Türkiye (TR) Plakalı,Galeriden,Evet
141,43.500 TL,Hyundai,Accent,1.6 Admire,2004,Benzin & LPG,Manuel,138.000,Sedan,112 hp,1599 cc,Önden Çekiş,Beyaz,Evet,Türkiye (TR) Plakalı,Galeriden,Evet
142,115.000 TL,Volkswagen,Golf,1.4 TSI Comfortline,2014,Benzin,Manuel,101.000,Hatchback 5 kapı,122 hp,1395 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Sahibinden,Hayır
143,86.000 TL,Volkswagen,Jetta,1.4 TSI BlueMotion Trendline,2015,Benzin,Yarı Otomatik,151.000,Sedan,125 hp,1395 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Sahibinden,Evet
144,33.000 TL,Fiat,Brava,1.6 SX,2000,Benzin & LPG,Manuel,195.298,Hatchback 5 kapı,103 hp,1581 cc,Önden Çekiş,Gri,Hayır,Türkiye (TR) Plakalı,Sahibinden,Hayır
145,87.500 TL,Volkswagen,Golf,1.6 TDi Comfortline,2011,Dizel,Yarı Otomatik,195.000,Hatchback 5 kapı,105 hp,1598 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
146,82.750 TL,Renault,Scenic,1.5 dCi Privilege,2012,Dizel,Yarı Otomatik,117.000,MPV,110 hp,1461 cc,Önden Çekiş,Füme,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
147,29.250 TL,Hyundai,Getz,1.5 CRDi GL Cool,2004,Dizel,Manuel,189.000,Hatchback 5 kapı,82 hp,1493 cc,Önden Çekiş,Siyah,Hayır,Türkiye (TR) Plakalı,Sahibinden,Hayır
148,23.500 TL,Renault,Clio,1.4 Authentique,2007,Benzin & LPG,Manuel,188.000,Sedan,98 hp,1390 cc,Önden Çekiş,Gri,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
149,122.000 TL,Renault,Megane,1.6 Joy,2019,Benzin,Manuel,6.700,Sedan,115 hp,1598 cc,Önden Çekiş,Beyaz,Evet,Türkiye (TR) Plakalı,Sahibinden,Evet
150,48.500 TL,Ford,Focus,1.6 Gold Collection,2005,Benzin & LPG,Manuel,158.000,Sedan,100 hp,1596 cc,Önden Çekiş,Gri,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
151,55.000 TL,Ford,Fiesta,1.4 TDCi Trend,2012,Dizel,Manuel,200.000,Hatchback 5 kapı,70 hp,1398 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
152,15.250 TL,Fiat,Uno,70 S,1998,Benzin & LPG,Manuel,270.000,Hatchback 5 kapı,71 hp,1372 cc,Önden Çekiş,Gri,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
153,179.750 TL,Opel,Insignia,1.6 CDTI Grand Sport Excellence,2017,Dizel,Otomatik,58.000,Hatchback 5 kapı,136 hp,1598 cc,Önden Çekiş,Gümüş Gri,Evet,Türkiye (TR) Plakalı,Sahibinden,Hayır
154,67.000 TL,Honda,Civic,1.6 VTEC ES,2005,Benzin & LPG,Manuel,228.000,Sedan,110 hp,1590 cc,Önden Çekiş,Gümüş Gri,Hayır,Türkiye (TR) Plakalı,Sahibinden,Hayır
